Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
"Cybertrol Engineering, LLC",,"Maple Grove, Minnesota",http://www.cybertrol.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Manufacturing,Energy & Utilities",Gold Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,MES Systems,Data Visualization / Dashboards,Migration & Upgrades,SCADA Security,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, MES Systems, Data Visualization / Dashboards, Migration & Upgrades, SCADA Security, Cloud / IIoT",,"Cybertrol Engineering, LLC is a Maple Grove, Minnesota-based integrator specializing in the food & beverage and life sciences industries. They provide plantwide automation and manufacturing execution system solutions, with a focus on IT/OT convergence and real-time manufacturing intelligence.",
"DAHLEN Systems, Inc.",,"Oregon, Wisconsin",http://www.dahlensystems.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,MES Systems,Migration & Upgrades","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, MES Systems, Migration & Upgrades",,"DAHLEN Systems, Inc. is an Oregon, Wisconsin-based integrator specializing in manufacturing and water/wastewater industries. They provide controls and automation solutions and digital plant services, with a focus on customized integration from concept development through commissioning.",
TriDelta Systems,,"Abbeville, AL, United States",http://www.trideltasystems.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Energy & Utilities,General Automation",Gold Integrator,"Manufacturing,Water/Wastewater,Energy & Utilities,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"TriDelta Systems is an Abbeville, Alabama-based integrator specializing in industrial manufacturing and technology. They provide engineering and fabrication services, with a focus on delivering integrated solutions across automation, robotics, and plant layout design.",
"Quantum Solutions, Inc.",,"Columbia, IL, United States",http://qsicontrols.com/,"MES Systems,Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,Migration & Upgrades,MES Systems","MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades, MES Systems",,"Quantum Solutions, Inc. is a St. Louis, Missouri-based integrator specializing in food & beverage and agriculture industries. They provide process automation and packaging integration services, with a focus on comprehensive control system integration for manufacturing efficiency.",
Higgins Electric,,"Dothan, AL, United States",http://www.higginselectric.com/,"MES Systems,Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation","Systems Integration,PLC Programming,Migration & Upgrades","MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades",,"Higgins Electric is a Dothan, Alabama-based integrator specializing in industrial and commercial electrical systems. They provide engineering and construction services, with a focus on comprehensive design/build solutions and ongoing plant maintenance.",
Beta Raven / CPM,,"Saint Charles, MO, United States",http://www.betaraven.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Food & Beverage,Manufacturing,General Automation",Gold Integrator,"Food & Beverage,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Beta Raven is a St. Charles, Missouri-based integrator specializing in process automation for the feed mill and premix industries. They provide process automation systems and scale manufacturing, with a focus on liquid control solutions for manufacturing efficiency and product quality.",
Alpha Industrial Technologies LLC,,"Moundville, AL, United States",https://alphaindustrial.us/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT,Siemens S7,PROFINET","Manufacturing,General Automation,Energy & Utilities,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Energy & Utilities,Water/Wastewater","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Alpha Industrial Technologies LLC is a Moundville, Alabama-based integrator specializing in manufacturing and light industrial sectors. They provide controls design and integration as well as UL-certified panel building, with a focus on data-centric automation and custom turnkey mechanical solutions.",Top 100
Eckman Tech LLC,,"Moline, IL, United States",,MES Systems,,,Gold Integrator,,,MES Systems,,,
"Ethos, LLC",,"Spring Green, WI, United States",http://ethosintegrate.com/,"Systems Integration,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities","Systems Integration,PLC Programming,HMI Design","Systems Integration, PLC Programming, HMI Design, Systems Integration, PLC Programming, HMI Design",,"Ethos, LLC is a Madison, Wisconsin-based integrator specializing in industrial automation and oilfield operations. They provide SCADA/HMI solutions and PLC services, with a focus on delivering optimized control platforms for complex industrial environments.",
Tri Tech Automation,,"Moscow Mills, MO, United States",http://tritechamerica.com/,"Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Manufacturing,General Automation",Gold Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,General Automation","Systems Integration,PLC Programming,Migration & Upgrades","Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades",,"Tri Tech Automation is a Moscow Mills, Missouri-based integrator specializing in food and beverage as well as oil and gas industries. They provide digital transformation and control panel fabrication services, with a focus on unlocking untapped production capacity through their Hidden Factory® methodology.",
Complete Control Solutions,,"Mosinee, WI, United States",http://gotoccs.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities",Gold Integrator,"Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"Complete Control Solutions is a Weston, Wisconsin-based integrator specializing in the food and dairy industries. They provide customized automation solutions and engineering services, with a focus on delivering tailored systems for efficient production operations.",
Johnson Automation Systems Inc.,,"Wausau, WI, United States",http://www.johnsonautomationsystems.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,BACnet","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Systems Integration,"Systems Integration, Systems Integration",,"Johnson Automation Systems Inc. is a Janesville, Wisconsin-based integrator specializing in the mining and automotive industries. They provide electrical and mechanical assembly services, with a focus on building and testing equipment to customer engineering specifications and offering flexible, multi-craft project execution.",
Fidus Global,,"Paragould, AR, United States",https://fidusglobal.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,Cloud / IIoT,SCADA Security,Alarm Management","OPC UA,Modbus TCP,MQTT","Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,Cloud / IIoT,SCADA Security,Alarm Management","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, Cloud / IIoT, SCADA Security, Alarm Management, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, Cloud / IIoT, SCADA Security, Alarm Management",,"Fidus Global is a Paragould, Arkansas-based integrator specializing in warehouse automation and distribution operations. They provide automation software and system modernization services, with a focus on open-architecture solutions that enable flexible integration and lifecycle support.",
"Tompkins Solutions, LLC",,"Orlando, FL, United States",http://www.tompkinsinc.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Transportation,Manufacturing,General Automation",Gold Integrator,"Transportation,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Tompkins Solutions, LLC is a Raleigh, North Carolina-based integrator specializing in retail and e-commerce industries. They provide warehouse design and automation solutions, with a focus on integrating advanced software and technology to optimize supply chain operations.",
ESCO Group,,"Marion, Iowa",https://theescogroup.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,SCADA Security,Data Visualization / Dashboards,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet,Sparkplug B","Food & Beverage,Water/Wastewater,Manufacturing,Energy & Utilities",Gold Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,MES Systems,Migration & Upgrades,SCADA Security,Data Visualization / Dashboards,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, SCADA Security, Data Visualization / Dashboards, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, MES Systems, Migration & Upgrades, SCADA Security, Data Visualization / Dashboards, Cloud / IIoT",,"ESCO Group is a Marion, Iowa-based integrator specializing in industrial manufacturing and municipal infrastructure. They provide control systems integration and electrical contracting services, with a focus on delivering comprehensive automation and electrical solutions for complex plant and utility environments.",
Baker Group,,"Des Moines, Iowa",https://www.thebakergroup.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,BACnet,DNP3,Ethernet/IP,PROFINET,Siemens S7","Food & Beverage,Water/Wastewater,Energy & Utilities,Manufacturing",Gold Integrator,"Food & Beverage,Water/Wastewater,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,MES Systems,Migration & Upgrades","MES Systems, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, MES Systems, Migration & Upgrades",,"Baker Group is a Des Moines, Iowa-based integrator specializing in manufacturing and agriculture industries. They provide engineering, procurement, and construction services along with automation and systems integration, with a focus on multi-trade modular solutions.",
Industrial Automation and Engineering,,"La Crosse, WI, United States",http://www.industrialautomation.us/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","General Automation,Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"General Automation,Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,Cloud / IIoT","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, Cloud / IIoT",,"Industrial Automation and Engineering is a La Crosse, Wisconsin-based integrator specializing in agriculture and water systems. They provide SCADA/HMI integration and industrial controls design, with a focus on custom automated control solutions tailored to specific industry needs.",
Solution Evolution LLC,,"Eau Claire, WI, United States",https://www.solutionevolutionllc.com/,"Systems Integration,PLC Programming,Data Visualization / Dashboards,Cloud / IIoT,MES Systems,HMI Design,SCADA Security","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,Data Visualization / Dashboards,Cloud / IIoT,MES Systems,HMI Design,SCADA Security","Systems Integration, PLC Programming, Data Visualization / Dashboards, Cloud / IIoT, MES Systems, HMI Design, SCADA Security, Systems Integration, PLC Programming, Data Visualization / Dashboards, Cloud / IIoT, MES Systems, HMI Design, SCADA Security",,"Solution Evolution LLC is a Louisville, Kentucky-based integrator specializing in industrial automation and process control. They provide PLC/SCADA development and data collection solutions, with a focus on secure OT/IT network convergence and advanced data-driven control systems.",
"CEC Controls Company, Inc.",,"Bradenton, FL, United States",https://www.ceccontrols.com/,"Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Automotive,Manufacturing,General Automation",Gold Integrator,"Automotive,Manufacturing,General Automation","Systems Integration,PLC Programming,Migration & Upgrades","Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades",,"CEC Controls Company, Inc. is an Warren, Michigan-based integrator specializing in automotive and industrial manufacturing industries. They provide process control systems integration and control panel solutions, with a focus on turnkey project delivery and comprehensive automation capabilities.",
Consulting Engineers Group,,"Lakeville, MN, United States",http://ceg-engineers.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Government,Manufacturing",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government,Manufacturing",Systems Integration,"Systems Integration, Systems Integration",,"Consulting Engineers Group is a Lakeville, Minnesota-based integrator specializing in renewable energy and utility infrastructure. They provide engineering design for solar and wind projects, with a focus on integrating battery energy storage systems and SCADA solutions.",
Knobelsdorff Engineering,,"Eagan, MN, United States",http://www.knobelsdorffelectric.com/,"Systems Integration,PLC Programming,Migration & Upgrades,Data Visualization / Dashboards,HMI Design,MES Systems,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Energy & Utilities,Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"Energy & Utilities,Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,Migration & Upgrades,Data Visualization / Dashboards,HMI Design,MES Systems,Cloud / IIoT","Systems Integration, PLC Programming, Migration & Upgrades, Data Visualization / Dashboards, HMI Design, MES Systems, Cloud / IIoT, Systems Integration, PLC Programming, Migration & Upgrades, Data Visualization / Dashboards, HMI Design, MES Systems, Cloud / IIoT",,"Knobelsdorff Engineering is a Goodhue, Minnesota-based integrator specializing in industrial processing/manufacturing and renewable energy. They provide automation and controls engineering and industrial electrical services, with a focus on integrated project delivery across multiple industries nationwide.",
Advanced Engineering & Environmental Services / AE2S,,"Grand Forks, North Dakota",http://www.ae2s.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Government,Energy & Utilities",Gold Integrator,"Water/Wastewater,Government,Energy & Utilities",Systems Integration,"Systems Integration, Systems Integration",,"Advanced Engineering & Environmental Services (AE2S) is a Grand Forks, North Dakota-based integrator specializing in water and wastewater systems. They provide civil and environmental engineering services with a focus on complex water infrastructure and regulatory compliance solutions.",
PAR Systems,,"Shoreview, MN, United States",http://www.par.com/,"Systems Integration,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Manufacturing,General Automation,Transportation,Government",Gold Integrator,"Manufacturing,General Automation,Transportation,Government","Systems Integration,Migration & Upgrades","Systems Integration, Migration & Upgrades, Systems Integration, Migration & Upgrades",,"PAR Systems is a Shoreview, Minnesota-based integrator specializing in aerospace and life sciences industries. They provide custom manufacturing automation and specialized crane systems, with a focus on delivering solutions for complex and highly regulated environments.",Top 100
Automatic Systems Co.,,"Roseville, MN, United States",http://www.automaticsystemsco.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Automatic Systems Co. is a St. Paul, Minnesota-based integrator specializing in water, wastewater, and industrial control systems. They provide engineering and application development services, with a focus on custom control system integration for municipal and industrial clients.",
Primex Controls,,"Plymouth, Minnesota",http://www.primexcontrols.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government",Systems Integration,"Systems Integration, Systems Integration",,"Primex Controls is a Plymouth, Minnesota-based integrator specializing in water and wastewater systems. They provide custom control panel manufacturing and SCADA integration services, with a focus on engineered solutions for municipal, industrial, and commercial applications.",
H2O Innovation Inc.,,"Champlin, MN, United States",http://www.h2oinnovation.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Food & Beverage,Energy & Utilities,Government",Gold Integrator,"Water/Wastewater,Food & Beverage,Energy & Utilities,Government",Systems Integration,"Systems Integration, Systems Integration",,"H2O Innovation Inc. is a Quebec City, Quebec-based integrator specializing in municipal and industrial water and wastewater treatment. They provide water technologies and services as well as operation and maintenance, with a focus on membrane process solutions and flexible, client-adapted systems.",
Storm Technologies LLC,,"Lees Summit, MO, United States",https://www.stormtechcontrols.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,Cloud / IIoT","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, Cloud / IIoT",,"Storm Technologies LLC is a Lees Summit, Missouri-based integrator specializing in industrial refrigeration and process controls. They provide system monitoring and energy management controls, with a focus on delivering customized solutions for operational efficiency and regulatory compliance.",
Control Assemblies,,"Minneapolis, MN, United States",http://www.controlassemblies.com/,"Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7,DNP3,BACnet","Food & Beverage,Water/Wastewater,Energy & Utilities,Manufacturing",Gold Integrator,"Food & Beverage,Water/Wastewater,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT",,"Control Assemblies is a Minneapolis, Minnesota-based integrator specializing in manufacturing and OEM industries. They provide control system automation and industrial control panel fabrication, with a focus on globally certified solutions and comprehensive engineering support.",
PFM Integrators,,"Chaska, MN, United States",http://www.pfmintegrators.com/,"Systems Integration,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities","Systems Integration,PLC Programming,HMI Design","Systems Integration, PLC Programming, HMI Design, Systems Integration, PLC Programming, HMI Design",,"PFM Integrators is a control system integrator based in [Headquarters City, State] specializing in manufacturing and industrial automation. They provide control system integration and electrical system design, with a focus on custom data management solutions.",
Mora Technologies,,"Lees Summit, MO, United States",http://wwwm.moratechusa.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation",Gold Integrator,"Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Mora Technologies is a Warrensburg, Missouri-based integrator specializing in industrial automation and process control. They provide PLC programming and robotics integration, with a focus on delivering turnkey automation solutions tailored to manufacturing and material handling environments.",
"Pro Electric, L.C.",,"Kansas City, KS, United States",http://www.proelectriclc.com/,"Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,Water/Wastewater,General Automation",Gold Integrator,"Manufacturing,Water/Wastewater,General Automation","Systems Integration,PLC Programming,Migration & Upgrades","Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades",,"Pro Electric, L.C. is a Kansas City, Kansas-based integrator specializing in industrial and commercial electrical systems. They provide electrical construction and industrial controls & automation services, with a focus on comprehensive design-build solutions and 24/7 emergency support.",
Integrated Controls & Engineering,,"Overland Park, KS, United States",http://integratedcontrolsandengineering.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP","Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"Integrated Controls & Engineering is a Kansas City, Missouri-based integrator specializing in manufacturing and regulated industries. They provide electrical panel design/fabrication and PLC/HMI/SCADA programming solutions, with a focus on custom automation and on-site commissioning for complex industrial projects.",
Ally Energy Solutions,,"Overland Park, KS, United States",http://ally-energy.com/,"MES Systems,Data Visualization / Dashboards,Systems Integration","OPC UA,Modbus TCP,MQTT","Oil & Gas,Manufacturing,General Automation",Gold Integrator,"Oil & Gas,Manufacturing,General Automation","Data Visualization / Dashboards,Systems Integration","MES Systems, Data Visualization / Dashboards, Systems Integration, Data Visualization / Dashboards, Systems Integration",,"Ally Energy Solutions is an Overland Park, Kansas-based integrator specializing in industrial and manufacturing facilities. They provide turnkey energy efficiency projects and strategic energy planning, with a focus on whole-facility solutions that optimize both demand-side and supply-side energy management.",
Kahler Automation Corp.,,"Fairmont, MN, United States",https://kahlerautomation.com/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT","Transportation,Manufacturing,General Automation",Gold Integrator,"Transportation,Manufacturing,General Automation","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Kahler Automation Corp. is a Fairmont, Minnesota-based integrator specializing in agriculture and bulk material handling industries. They provide automation systems and control software, with a focus on integrated solutions for dry fertilizer, liquid handling, and grain facility operations.",
FPEC Corp.,,"Fayetteville, Arkansas",http://fpec.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Food & Beverage,Manufacturing",Gold Integrator,"Food & Beverage,Manufacturing",Systems Integration,"Systems Integration, Systems Integration",,"FPEC Corp. is a Fayetteville, Arkansas-based integrator specializing in meat and pet food processing industries. They provide food processing equipment and material handling systems, with a focus on fully integrated production line solutions tailored to facility-specific requirements.",
Keystone Engineering Inc.,,"Baton Rouge, Louisiana",http://www.keystoneengr.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3","Oil & Gas,Energy & Utilities,Water/Wastewater,Manufacturing",Gold Integrator,"Oil & Gas,Energy & Utilities,Water/Wastewater,Manufacturing","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,SCADA Security,Cloud / IIoT","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, SCADA Security, Cloud / IIoT",,"Keystone Engineering Inc. is a Baton Rouge, Louisiana-based integrator specializing in oil & gas and renewable energy industries. They provide multi-discipline engineering and project management services, with a focus on delivering integrated solutions for complex industrial projects.",
"Bear Automation, Inc",,"Fayetteville, AR, United States",http://www.bearautomation.com/,"Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,General Automation",Gold Integrator,"Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards","Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards",,"Bear Automation, Inc. is a Fayetteville, Arkansas-based integrator specializing in manufacturing and industrial automation. They provide PLC/SCADA system design and installation services, with a focus on delivering web-based real-time process monitoring and reporting solutions.",
Advanced Process Technologies,,"Cokato, MN, United States",http://www.apt-inc.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Food & Beverage,Water/Wastewater,Manufacturing,General Automation",Gold Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards",,"Advanced Process Technologies is a Cokato, Minnesota-based integrator specializing in the food and dairy industries. They provide process design engineering and equipment fabrication, with a focus on delivering vertically integrated, end-to-end solutions under one roof.",
Atlas Engineered Controls LLC,,"Tonganoxie, KS, United States",https://atlasenco.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage",Systems Integration,"Systems Integration, Systems Integration",,"Atlas Engineered Controls LLC is a Tonganoxie, Kansas-based integrator specializing in industrial automation and process optimization. They provide technology lifecycle planning and turn-key control system solutions, with a focus on comprehensive field services and commissioning support.",
Accenture Inc.,,"Dublin, Ireland",http://www.accenture.com/us-en,"MES Systems,Systems Integration,Cloud / IIoT,Data Visualization / Dashboards,SCADA Security,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Energy & Utilities,Manufacturing,Life Sciences,Transportation",Gold Integrator,"Energy & Utilities,Manufacturing,Life Sciences,Transportation","Systems Integration,Cloud / IIoT,Data Visualization / Dashboards,MES Systems,SCADA Security,Migration & Upgrades","MES Systems, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, SCADA Security, Migration & Upgrades, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, MES Systems, SCADA Security, Migration & Upgrades",,"Accenture Inc. is a Dublin, Ireland-based integrator specializing in technology and consulting services for industries such as banking and healthcare. They provide digital transformation and cloud solutions, with a focus on leveraging artificial intelligence to drive enterprise reinvention and operational efficiency.",
RED Group,,"New Orleans, Louisiana",https://red.group/,"Cloud / IIoT,Systems Integration,PLC Programming,SCADA Security,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Manufacturing,Energy & Utilities,Water/Wastewater,Mining & Metals",Gold Integrator,"Manufacturing,Energy & Utilities,Water/Wastewater,Mining & Metals","Systems Integration,PLC Programming,SCADA Security,Migration & Upgrades","Cloud / IIoT, Systems Integration, PLC Programming, SCADA Security, Migration & Upgrades, Systems Integration, PLC Programming, SCADA Security, Migration & Upgrades",,"RED Group is a New Orleans, Louisiana-based integrator specializing in energy and manufacturing industries. They provide industrial control systems integration and OT/ICS cybersecurity services, with a focus on delivering resilient, secure automation solutions tailored to client operations.",
